intencion,patron,peso
mascotas,\b(mascota(s)?|pet(s)?|perro(s)?|gato(s)?|animal(es)?|aceptan mascotas|admiten mascotas|pet friendly|petfriendly|dog|cat|animales permitidos|animales|pets allowed|pet policy)\b,2
niños,\b(niño(s)?|niña(s)?|menor(es)?|menores|niños permitidos|niños gratis|kids|child|children|kids allowed|child policy|niños aceptados|niños admitidos)\b,2
accesibilidad,\b(accesible|accesibilidad|discapacidad|silla de ruedas|wheelchair|acceso|rampa|adaptado|adaptada|adaptados|adaptadas|disabled|accessible|accessibility)\b,2
metodo_pago,\b(pago|pagar|tarjeta|efectivo|transferencia|visa|mastercard|amex|paypal|metodo de pago|forma de pago|pay|credit card|debit card|cash|bank transfer|payment method|how to pay|paying)\b,2
promocion,\b(promocion(es)?|oferta(s)?|descuento(s)?|rebaja(s)?|promo|special offer|discount|deal|rebate|sale|coupon|cupon|promo code|codigo promocional)\b,2
politica_cancelacion,\b(politica de cancelacion|cancelacion|condiciones de cancelacion|cancel policy|refund|reembolso|devolucion|cancelar sin costo|cancelar gratis|free cancellation|cancellation terms|cancellation conditions)\b,2
preferencias,\b(preferencia(s)?|preferir|preferido|preferida|preferidas|preferidos|preferencias de habitacion|room preference|room preferences|preferencias especiales|special request|special requests|peticion especial|peticiones especiales)\b,2
nombre,\b(nombre|name|titular|holder|guest name|nombre del huesped|nombre del cliente|nombre de la reserva)\b,2
correo,\b(correo|email|e-mail|mail|correo electronico|email address|correo del cliente|correo de la reserva)\b,2
telefono,\b(telefono|teléfono|celular|movil|mobile|phone|phone number|numero de telefono|numero celular|numero movil)\b,2
saludo,\b([Hh][Oo][Ll][Aa]+|[Oo]la|[Hh]olaa+|[Bb]uenas?|[Ww]enas?|k tal|qué tal|q tal|hey|[Bb]uenos d[ií]as|[Bb]uenas tardes|[Bb]uenas noches)\b,2
despedida,\b([Aa]di[oó]s+|adios|asta luego|hasta luego|gracias+|grasias|nos vemos|bye+|bai)\b,2
afirmacion,\b(s[ií]|si|sí|claro|ok|okay|vale|de acuerdo|por supuesto|afirmativo|correcto|as[ií] es|así es|seguro|confirmo|acepto|va|va que va|va bien|va perfecto|perfecto|excelente|está bien|esta bien|está correcto|esta correcto|me parece|me parece bien|me parece perfecto|me parece excelente|me parece correcto)\b,2
reservar,\b([Kk]iero|[Qq]uiero|qiero|me gustar[ií]a|deseo|reservar|resrvar|apartar|apartarr|habitaci[oó]n|habitazion|habitasion|hospedaje|hospedage|booking|bokin|apartado|apartad0|abartado|abartad0)\b.*\b(reserva(r)?|apartado|hospedaje|booking|apartar|habitaci[oó]n|habitazion|habitasion)\b,5
cancelar,\b([Cc]ancelar|kancelar|cancelarr|anular|anullar|eliminar|elminar|borrar|borar|borrarr)\b.*\b(reserva|reservacion|booking|apartado|apartad0|habitaci[oó]n|habitazion|habitasion)\b,3
modificar,\b([Cc]ambiar|cambiarrr|modifikar|modificar|modifikarr|ajustar|ajustarr|actualizar|aktualizar|modificar mi reservacion|modifikar mi reservacion|modificar reservacion|modifikar reservacion|modificar mi reserva|modifikar mi reserva|modificar reserva|modifikar reserva|puedo modificar|puedo modifikar|quiero modificar|quiero modifikar|necesito modificar|necesito modifikar)\b.*\b(reserva|reservacion|habitaci[oó]n|habitazion|habitasion|cuarto|kuarto|kwarto|quart0)\b,3
precio,\b(cu[aá]nt[o0]|cuant[o0]|cuant0|precio|precios|prezio|tarifa|costo|vale|cuánto cuesta|cuanto cuesta|$|usd|pesos|mxn)\b,2
